value,v1,v2,split,,
61,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,train,,
62,ham,Ha ha ha good joke. Girls are situation seekers.,train,,
63,ham,Its a part of checking IQ,train,,
64,ham,"Sorry my roommates took forever, it ok if I come by now?",train,,
65,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,train,,
66,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a $1500 Bonus Prize, call 09066364589",train,,
67,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",train,,
68,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or $1000. To claim txt DIS to 87121 18+6*$1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",train,,
69,spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",train,,
70,ham,I plane to give on this month end.,train,,
71,ham,Wah lucky man... Then can save money... Hee...,train,,
72,ham,Finished class where are you.,train,,
73,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,train,,
74,ham,K..k:)where are you?how did you performed?,train,,
75,ham,U can call me now...,train,,
76,ham,I am waiting machan. Call me once you free.,train,,
77,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,train,,
78,ham,I like you peoples very much:) but am very shy pa.,train,,
79,ham,Does not operate after  &lt;#&gt;  or what,train,,
80,ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,train,,
81,ham,"Sorry, I'll call later",train,,
82,ham,K. Did you call me just now ah? ,train,,
83,ham,Ok i am on the way to home hi hi,train,,
84,ham,You will be in the place of that man,train,,
85,ham,Yup next stop.,train,,
86,ham,"I call you later, don't have network. If urgnt, sms me.",train,,
87,ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,train,,
88,ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,train,,
89,ham,I'm really not up to it still tonight babe,train,,
90,ham,"Ela kano.,il download, come wen ur free..",train,,
91,ham,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,train,,
92,ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,train,,
93,ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,train,,
94,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed $1000 cash or $5000 prize!,train,,
95,ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,train,,
96,spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",train," MK17 92H. 450Ppw 16""",
97,ham,Watching telugu movie..wat abt u?,train,,
98,ham,i see. When we finish we have loads of loans to pay,train,,
99,ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",train,,
100,ham,Please don't text me anymore. I have nothing else to say.,train,,
101,ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,train,,
102,ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,train,,
103,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,train,,
104,ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",train,,
105,ham,Umma my life and vava umma love you lot dear,train,,
106,ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,train,,
107,ham,"Aight, I'll hit you up when I get some cash",train,,
108,ham,How would my ip address test that considering my computer isn't a minecraft server,train,,
109,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,train,,
110,ham,Dont worry. I guess he's busy.,train,,
111,ham,What is the plural of the noun research?,train,,
112,ham,Going for dinner.msg you after.,train,,
113,ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,train,,
114,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a $1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,train,,
115,ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",train,,
116,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",train,,
117,spam,You are a winner U have been specially selected 2 receive $1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,train,,
118,ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,train,,
119,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,train,,
120,spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,train,,
121,spam,"URGENT! Your Mobile No. was awarded $2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",train,,
122,ham,here is my new address -apples&pairs&all that malarky,train,,
123,spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,train,,
124,ham,I am going to sao mu today. Will be done only at 12 ,train,,
125,ham,ÌÏ predict wat time Ì_'ll finish buying?,train,,
126,ham,"Good stuff, will do.",train,,
127,ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",train,,
128,ham,Are you there in room.,train,,
129,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,train,,
130,ham,K..k:)how much does it cost?,train,,
131,ham,I'm home.,train,,
132,ham,"Dear, will call Tmorrow.pls accomodate.",train,,
133,ham,First answer my question.,train,,
134,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. $1.50 SP:Tyrone,train,,
135,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,train,,
136,ham,I only haf msn. It's yijue@hotmail.com,train,,
137,ham,He is there. You call and meet him,train,,
138,ham,No no. I will check all rooms befor activities,train,,
139,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,train,,
140,ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,train,,
141,ham,"K, text me when you're on the way",train,,
142,ham,"Sir, Waiting for your mail.",train,,
143,ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",train,,
144,ham,I know you are. Can you pls open the back?,train,,
145,ham,Yes see ya not on the dot,train,,
146,ham,Whats the staff name who is taking class for us?,train,,
147,spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",train,,
148,ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,train,,
149,ham,K..i deleted my contact that why?,train,,
150,ham,Sindu got job in birla soft ..,train,,
151,ham,The wine is flowing and i'm i have nevering..,train,,
152,ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,train,,
153,ham,Ok... Ur typical reply...,train,,
154,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,train,,
155,ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",train,,
156,ham,Aaooooright are you at work?,train,,
157,ham,I'm leaving my house now...,train,,
158,ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",train,,
159,spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,train,,
160,spam,You are a winner U have been specially selected 2 receive $1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,train,,
161,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,train,,
162,ham,New car and house for my parents.:)i have only new job in hand:),train,,
163,ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,train,,
164,spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,train,,
165,spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",train,,
166,ham,I place all ur points on e cultures module already.,train,,
167,spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a $900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,train,,
168,ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",train,,
169,ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,train,,
170,ham,Yes :)it completely in out of form:)clark also utter waste.,train,,
171,ham,"Sir, I need AXIS BANK account no and bank address.",train,,
172,ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",train,,
173,ham,What time you coming down later? ,train,,
174,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",train,,
175,ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",train,,
176,ham,Let me know when you've got the money so carlos can make the call,train,,
177,ham,U still going to the mall?,train,,
178,ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",train,,
179,ham,Text her. If she doesnt reply let me know so i can have her log in,train,,
180,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,train,,
181,ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,train,,
182,ham,Lol no. U can trust me.,train,,
183,ham,ok. I am a gentleman and will treat you with dignity and respect.,train,,
184,ham,"He will, you guys close?",train,,
185,ham,Going on nothing great.bye,train,,
186,ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,train,,
187,ham,"Haha awesome, be there in a minute",train,,
188,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed $1000 cash or $5000 prize!,train,,
189,ham,Have you got Xmas radio times. If not i will get it now,train,,
190,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,train,,
191,spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,train,,
192,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,train,,
193,ham,Hi :)finally i completed the course:),train,,
194,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,train,,
195,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,train,,
196,ham,Gud mrng dear hav a nice day,train,,
197,ham,Did u got that persons story,train,,
198,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,train,,
199,ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,train,,
200,ham,"Found it, ENC  &lt;#&gt; , where you at?",train,,
201,ham,I sent you  &lt;#&gt;  bucks,train,,
202,ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,train,,
203,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,train,,
204,ham,Goodmorning sleeping ga.,train,,
205,ham,U call me alter at 11 ok.,train,,
206,ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,train,,
207,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",train,,
208,ham,"Aight yo, dats straight dogg",train,,
209,ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,train,,
210,ham,Both :) i shoot big loads so get ready!,train,,
211,ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",train,,
212,ham,Home so we can always chat,train,,
213,ham,K:)k:)good:)study well.,train,,
214,ham,Yup... How Ì_ noe leh...,train,,
215,ham,Sounds great! Are you home now?,train,,
216,ham,Finally the match heading towards draw as your prediction.,train,,
217,ham,Tired. I haven't slept well the past few nights.,train,,
218,ham,Easy ah?sen got selected means its good..,train,,
219,ham,I have to take exam with march 3,train,,
220,ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,train,,
221,ham,Ok no prob. Take ur time.,train,,
222,ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,train,,
223,ham,"Sorry, I'll call later",train,,
224,ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,train,,
225,spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY $1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",train,,
226,ham,Would really appreciate if you call me. Just need someone to talk to.,train,,
227,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",train,,
228,ham,Hey company elama po mudyadhu.,train,,
229,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",train,,
230,ham,Dear good morning now only i am up,train,,
231,ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,train,,
232,ham,Dear we are going to our rubber place,train,,
233,ham,"Sorry battery died, yeah I'm here",train,,
234,ham,Yes:)here tv is always available in work place..,train,,
235,spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,train,,
236,ham,I have printed it oh. So  &lt;#&gt;  come upstairs,train,,
237,ham,Or ill be a little closer like at the bus stop on the same street,train,,
238,ham,Where are you?when wil you reach here?,train,,
239,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",train,,
240,spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,train,,
241,ham,Tomarrow final hearing on my laptop case so i cant.,train,,
242,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,train,,
243,ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",train,,
244,ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",train,,
245,ham,U don't remember that old commercial?,train,,
246,ham,Too late. I said i have the website. I didn't i have or dont have the slippers,train,,
247,ham,I asked you to call him now ok,train,,
248,ham,Kallis wont bat in 2nd innings.,train,,
249,ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,train,,
250,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,train,,
251,ham,Ranjith cal drpd Deeraj and deepak 5min hold,train,,
252,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",train,,
253,ham,What you doing?how are you?,train,,
254,ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",train,,
255,ham,"I'm back, lemme know when you're ready",train,,
256,ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,train,,
257,ham,Mmm so yummy babe ... Nice jolt to the suzy,train,,
258,ham,Where are you lover ? I need you ...,train,,
259,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,train,,
260,ham,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,train,,
261,ham,Yup,train,,
262,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,train,,
263,ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,train,,
264,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,train,,
265,ham,Why you Dint come with us.,train,,
266,ham,Same. Wana plan a trip sometme then,train,,
267,ham,"Not sure yet, still trying to get a hold of him",train,,
268,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,train,,
269,ham,The evo. I just had to download flash. Jealous?,train,,
270,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,train,,
271,ham,"Come to mu, we're sorting out our narcotics situation",train,,
272,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",train,,
273,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,train,,
274,ham,"Usf I guess, might as well take 1 car",train,,
275,ham,No objection. My bf not coming.,train,,
276,ham,Thanx...,train,,
277,ham,Tell rob to mack his gf in the theater,train,,
278,ham,"Awesome, I'll see you in a bit",train,,
279,ham,Just sent it. So what type of food do you like?,train,,
280,ham,All done? All handed in? Celebrations in full swing yet?,train,,
281,ham,You got called a tool?,train,,
282,ham,\Wen u miss someone,train, why to miss them," just Keep-in-touch\"" gdeve.."""
283,ham,Ok. I asked for money how far,train,,
284,ham,Okie...,train,,
285,ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",train,,
286,ham,"K, I might come by tonight then if my class lets out early",train,,
287,ham,Ok..,train,,
288,ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,train,,
289,ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",train,,
290,ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",train,,
291,ham,Hey you told your name to gautham ah?,train,,
292,ham,Haf u found him? I feel so stupid da v cam was working.,train,,
293,ham,Oops. 4 got that bit.,train,,
294,ham,Are you this much buzy,train,,
295,ham,I accidentally deleted the message. Resend please.,train,,
296,spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,train,,
297,ham,Unless it's a situation where YOU GO GURL would be more appropriate,train,,
298,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,train,,
299,ham,I cant pick the phone right now. Pls send a message,train,,
300,ham,Need a coffee run tomo?Can't believe it's that time of week already,train,,
301,ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",train,,
302,ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",train,,
303,ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,train,,
304,ham,He is a womdarfull actor,train,,
305,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",train,,
306,ham,Yup... From what i remb... I think should be can book... ,train,,
307,ham,Jos ask if u wana meet up?,train,,
308,ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,train,,
309,spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",train,,
310,ham,Where are the garage keys? They aren't on the bookshelf,train,,
311,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,train,,
312,spam,"Think ur smart ? Win $200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",train,,
313,ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,train,,
314,ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",train,,
315,ham,You made my day. Do have a great day too.,train,,
316,ham,K.k:)advance happy pongal.,train,,
317,ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",train,,
318,ham,"Not really dude, have no friends i'm afraid :(",train,,
319,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,train,,
320,ham,"Coffee cake, i guess...",train,,
321,ham,"Merry Christmas to you too babe, i love ya *kisses*",train,,
